ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	497	364514	364487.5	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	150	202933	202933.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	233	186951	186950.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	335	181730	181730.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	286	169475	169475.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	464	165632	165599.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	753	154528	154528.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	255	147620	147619.5	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	46	143516	143516.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	162	136283	136283.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	286	130310	130310.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	183	119008	118920.5	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	408	117484	117483.5	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	273	114678	114678.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	179	114216	114216.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	195	111391	111391.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	223	110828	110757.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	222	110688	110688.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	284	107040	107040.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	240	105776	105775.5	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	284	105060	105060.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	205	103922	103922.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	227	93848	93760.5	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	87	90727	90727.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	372	89999	89999.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	233	88061	88061.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	55	87866	87866.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	198	83177	83177.0	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	131	82420	82418.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	293	76697	76697.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	170	76561	76561.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	160	75200	75129.5	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	111	74805	74805.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	211	71418	69950.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	286	62238	62238.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	42	60887	60887.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	285	59608	59608.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	36	59599	59599.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	171	58321	58321.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	134	56518	56518.0	0.0
hsa-miR-541-5p:MIMAT0004919:Homo:sapiens:miR-541-5p	327	55073	55073.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	210	54209	54209.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	137	52630	52630.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	192	52416	52416.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	121	50199	50199.0	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	255	49750	49750.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	162	48901	48830.5	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	155	48768	48768.0	0.0
hsa-miR-615-5p:MIMAT0004804:Homo:sapiens:miR-615-5p	163	48017	48017.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	248	47537	47224.0	0.0
hsa-miR-569:MIMAT0003234:Homo:sapiens:miR-569	128	46994	46994.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	152	46364	46364.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	255	45907	45907.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	65	43045	43045.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	147	42662	42662.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	127	42621	42621.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	220	41359	41359.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	120	40294	40294.0	0.0
hsa-miR-586:MIMAT0003252:Homo:sapiens:miR-586	201	39557	39557.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	268	38227	38227.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	240	37935	37935.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	130	37042	37042.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	172	37008	37008.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	139	37000	37000.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	161	36806	36805.0	0.0
hsa-miR-550a-3-5p:MIMAT0020925:Homo:sapiens:miR-550a-3-5p|hsa-miR-550a-5p:MIMAT0004800:Homo:sapiens:miR-550a-5p	102	37406	36667.5	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	87	35385	35385.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	104	34105	33805.25000000001	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	84	33618	33618.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	145	33489	33489.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	332	33010	33009.0	0.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	131	31234	31234.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	154	31210	31210.0	0.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	224	30545	30545.0	0.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	113	29965	29965.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	106	29639	29639.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	149	29545	29540.0	0.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	303	29520	29520.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	111	28735	28726.166666666664	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	197	37083	28648.5	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	95	28751	28629.5	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	138	28144	28144.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	189	28077	28077.0	0.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	182	27998	27998.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	112	27627	27627.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	126	26904	26904.0	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	148	25390	25390.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	206	25388	25388.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	187	33764	25329.5	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	156	25215	25170.5	0.0
hsa-miR-515-5p:MIMAT0002826:Homo:sapiens:miR-515-5p	123	24840	24840.0	0.0
hsa-miR-767-3p:MIMAT0003883:Homo:sapiens:miR-767-3p	120	24734	24734.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	177	24224	24224.0	0.0
hsa-miR-636:MIMAT0003306:Homo:sapiens:miR-636	188	23619	23619.0	0.0
hsa-miR-600:MIMAT0003268:Homo:sapiens:miR-600	266	23040	23040.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	272	22676	22663.5	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	111	22639	22639.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	133	22422	22422.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	119	22065	22065.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	101	21834	21834.0	0.0
hsa-miR-635:MIMAT0003305:Homo:sapiens:miR-635	260	21463	21463.0	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	142	21150	21150.0	0.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	184	21060	21060.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	110	20931	20931.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	112	20709	20708.5	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	111	20656	20656.0	0.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	71	20313	20313.0	0.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	86	20637	19661.333333333332	0.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	147	19137	19137.0	0.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	71	19072	19072.0	0.0
hsa-miR-627-5p:MIMAT0003296:Homo:sapiens:miR-627-5p	97	18458	18458.0	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	133	18278	18278.0	0.0
hsa-miR-497-5p:MIMAT0002820:Homo:sapiens:miR-497-5p	123	17952	17952.0	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	106	17931	17931.0	0.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	117	17323	17323.0	0.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	172	17166	17166.0	0.0
hsa-miR-149-5p:MIMAT0000450:Homo:sapiens:miR-149-5p	198	16360	16360.0	0.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	95	16328	16328.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	114	16325	16312.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	149	16081	16081.0	0.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	127	15829	15829.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	161	15469	15469.0	0.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	72	15203	15203.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	159	14898	14898.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	221	14734	14734.0	0.0
hsa-miR-208b-3p:MIMAT0004960:Homo:sapiens:miR-208b-3p	136	14449	14449.0	0.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	126	14375	14375.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	98	13773	13773.0	0.0
hsa-miR-450a-5p:MIMAT0001545:Homo:sapiens:miR-450a-5p	118	13583	13583.0	0.0
hsa-miR-432-3p:MIMAT0002815:Homo:sapiens:miR-432-3p	48	13339	13339.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	67	13289	13289.0	0.0
hsa-miR-577:MIMAT0003242:Homo:sapiens:miR-577	82	12978	12978.0	0.0
hsa-miR-599:MIMAT0003267:Homo:sapiens:miR-599	50	12775	12775.0	0.0
hsa-miR-607:MIMAT0003275:Homo:sapiens:miR-607	69	12665	12665.0	0.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	104	12567	12567.0	0.0
hsa-miR-431-5p:MIMAT0001625:Homo:sapiens:miR-431-5p	94	12144	12144.0	0.0
hsa-miR-520c-5p:MIMAT0005455:Homo:sapiens:miR-520c-5p|hsa-miR-518d-5p:MIMAT0005456:Homo:sapiens:miR-518d-5p|hsa-miR-526a:MIMAT0002845:Homo:sapiens:miR-526a	94	12181	11977.166666666666	0.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	79	11907	11907.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	95	11852	11852.0	0.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	154	11969	11660.5	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	126	11477	11477.0	0.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	177	11475	11475.0	0.0
hsa-miR-562:MIMAT0003226:Homo:sapiens:miR-562	70	11325	11325.0	0.0
hsa-miR-516a-5p:MIMAT0004770:Homo:sapiens:miR-516a-5p	107	11236	11236.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	99	10836	10836.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	127	10629	10629.0	0.0
hsa-miR-616-5p:MIMAT0003284:Homo:sapiens:miR-616-5p	81	10474	10474.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	118	10411	10410.5	0.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	97	9845	9845.0	0.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	127	9809	9809.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	78	9798	9798.0	0.0
hsa-miR-433-5p:MIMAT0026554:Homo:sapiens:miR-433-5p	90	9776	9776.0	0.0
hsa-miR-650:MIMAT0003320:Homo:sapiens:miR-650	72	9771	9771.0	0.0
hsa-miR-105-5p:MIMAT0000102:Homo:sapiens:miR-105-5p	162	9602	9602.0	0.0
hsa-miR-887-3p:MIMAT0004951:Homo:sapiens:miR-887-3p	132	9599	9599.0	0.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	154	9293	9293.0	0.0
hsa-miR-369-5p:MIMAT0001621:Homo:sapiens:miR-369-5p	121	9269	9269.0	0.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	163	9247	9247.0	0.0
hsa-miR-194-5p:MIMAT0000460:Homo:sapiens:miR-194-5p	92	8867	8867.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	72	8571	8571.0	0.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	100	8450	8450.0	0.0
hsa-miR-873-5p:MIMAT0004953:Homo:sapiens:miR-873-5p	95	8438	8438.0	0.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	129	8343	8343.0	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	76	8305	8305.0	0.0
hsa-miR-489-3p:MIMAT0002805:Homo:sapiens:miR-489-3p	138	8187	8187.0	0.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	143	8184	8184.0	0.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	72	8170	8170.0	0.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	163	8083	8077.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	84	8045	8045.0	0.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	124	8000	8000.0	0.0
