ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	253	87502	87502.0	23648.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	201	61327	61327.0	16709.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	331	55207	55207.0	14593.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	176	47329	47329.0	17522.0
hsa-miR-501-5p:MIMAT0002872:Homo:sapiens:miR-501-5p	199	46752	46752.0	10561.0
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	123	44705	44705.0	10284.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	245	40173	40173.0	12296.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	215	39812	39812.0	11291.0
hsa-miR-323b-5p:MIMAT0001630:Homo:sapiens:miR-323b-5p	271	38820	38820.0	11628.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	287	37901	37901.0	10988.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	149	35584	35584.0	6665.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	160	35529	35529.0	11825.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	245	34797	34797.0	15071.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	183	34342	34342.0	9057.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	140	32631	32631.0	9944.0
hsa-miR-595:MIMAT0003263:Homo:sapiens:miR-595	186	32600	32600.0	8132.0
hsa-miR-624-5p:MIMAT0003293:Homo:sapiens:miR-624-5p	190	32591	32591.0	5284.0
hsa-miR-380-3p:MIMAT0000735:Homo:sapiens:miR-380-3p	191	32465	32465.0	12641.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	103	32095	32095.0	5117.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	200	31944	31944.0	10179.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	164	31404	31404.0	8030.0
hsa-miR-610:MIMAT0003278:Homo:sapiens:miR-610	138	31401	31401.0	7459.0
hsa-miR-499a-5p:MIMAT0002870:Homo:sapiens:miR-499a-5p	117	31352	31352.0	6522.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	134	30928	30928.0	8477.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	203	30909	30898.5	10077.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	291	30703	30702.5	8239.5
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	148	29559	29559.0	6297.0
hsa-miR-888-5p:MIMAT0004916:Homo:sapiens:miR-888-5p	121	29317	29317.0	6692.0
