ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	574	179530	179471.5	39433.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	520	172214	172213.5	26587.5
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	444	169725	169712.0	35284.5
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	580	169676	169676.0	49688.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	348	157857	157771.0	26236.5
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	511	154338	154337.5	38201.5
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	552	153828	153827.0	27720.5
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	461	153452	153451.0	36478.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	422	148410	148410.0	23207.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	405	139318	139318.0	26939.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	255	135597	135597.0	26774.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	569	130466	130466.0	31620.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	262	127358	127358.0	19884.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	486	124513	124513.0	52782.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	404	120118	120118.0	25678.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	443	116402	116402.0	39460.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	452	110664	110664.0	36468.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	311	96476	96476.0	14963.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	382	92565	92565.0	28870.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	401	92090	92074.0	33910.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	320	91090	91090.0	23857.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	462	91032	91032.0	23834.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	270	83216	83216.0	28477.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	290	83246	83101.5	21606.5
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	391	81971	81971.0	21941.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	370	79564	79488.5	31684.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	232	75196	75196.0	23298.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	305	72129	71977.5	20773.5
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	331	70342	70178.5	18512.5
