ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	275	133522	133501.0	55809.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	183	116792	116792.0	32890.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	242	88478	88478.0	37468.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	178	80334	80320.0	15343.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	303	74954	74954.0	38063.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	193	74292	74291.5	28688.5
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	277	70756	70756.0	20795.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	218	70162	70162.0	39643.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	266	67792	67792.0	20032.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	210	65368	65368.0	23799.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	274	64709	64709.0	28945.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	222	63630	63630.0	31126.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	288	59075	59075.0	31135.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	221	58571	58571.0	18147.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	162	56092	56092.0	21477.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	183	54257	54257.0	15264.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	262	54118	54118.0	22728.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	226	49103	49103.0	22793.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	180	48691	48691.0	26868.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	256	47627	47615.0	28794.5
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	152	45057	45057.0	27023.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	208	39400	39400.0	23464.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	160	39004	39004.0	6879.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	153	37228	37228.0	17925.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	168	36972	36972.0	12049.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	160	35828	35824.0	21488.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	177	35747	35747.0	11017.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	149	34325	34325.0	10962.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	239	32978	32978.0	18841.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	61	32467	32422.93333333333	15698.433333333334
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	212	31680	31680.0	15610.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	201	30898	30884.5	14551.5
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	172	30683	30683.0	14836.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	106	30342	30342.0	6001.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	165	30012	30012.0	11461.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	220	29455	29444.0	15177.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	179	29226	29205.0	18779.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	155	27861	27795.0	11641.5
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	166	25690	25690.0	9788.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	195	24448	24448.0	18326.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	93	23386	23386.0	12713.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	179	22874	22874.0	13599.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	173	22244	22244.0	8268.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	88	22034	22034.0	14835.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	178	21892	21892.0	17265.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	96	21392	21392.0	14102.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	118	21272	21272.0	12936.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	119	21251	21251.0	6157.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	119	21369	21049.0	9501.5
hsa-miR-605-3p:MIMAT0026621:Homo:sapiens:miR-605-3p	154	21028	21028.0	14889.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	164	20854	20854.0	11456.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	60	20773	20773.0	7853.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	130	20695	20695.0	11966.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	169	20022	20022.0	17020.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	158	20011	20011.0	8184.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	120	19990	19990.0	13765.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	125	19898	19896.0	10680.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	92	19330	19330.0	10386.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	139	19060	19058.0	12874.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	132	18517	18136.666666666664	12731.500000000002
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	129	18036	18036.0	12710.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	145	18054	17735.0	12526.5
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	82	16565	16565.0	10039.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	175	16312	16312.0	8098.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	126	15681	15681.0	7336.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	153	15656	15656.0	8956.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	104	15513	15513.0	11803.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	179	15322	15316.5	8365.5
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	119	14821	14821.0	9704.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	145	14554	14554.0	8076.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	111	14284	14284.0	9027.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	124	14266	14266.0	3652.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	87	14475	14133.08333333333	6122.416666666666
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	95	14069	14069.0	4642.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	128	14033	14005.5	7046.5
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	81	13734	13734.0	6575.0
