ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	329	196957	196946.5	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	181	182116	182116.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	108	154620	154620.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	258	136930	136930.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	49	129236	129236.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	205	116599	116599.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	179	111377	111377.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	337	107652	107651.5	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	81	102753	102753.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	184	99852	99790.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	543	93385	93384.5	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	203	93007	92912.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	215	92483	92482.5	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	139	92302	92207.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	285	88309	88295.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	127	78412	78412.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	159	76334	76334.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	198	75159	75159.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	146	75044	75044.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	146	69347	69347.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	46	68939	68939.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	201	67010	67010.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	197	66361	66361.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	227	64158	64158.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	100	64077	64077.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	145	62623	62623.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	225	62519	62519.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	131	62116	62116.0	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	107	55892	55889.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	250	55354	55354.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	122	55227	55192.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	126	54129	54129.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	97	47557	47557.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	201	47277	47277.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	131	43134	43134.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	197	40615	40615.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	127	38178	38178.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	106	36739	36739.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	132	36737	36737.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	199	36443	36443.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	57	36024	36024.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	35	35677	35677.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	116	33052	33052.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	122	33077	33042.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	145	32175	32175.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	184	31603	31603.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	148	31545	31545.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	93	31233	31006.499999999996	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	128	30538	30538.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	98	30483	30483.0	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	165	30467	30467.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	79	30335	30335.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	118	29963	29963.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	37	29802	29802.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	112	29759	29759.0	0.0
