ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	225	50356	50356.0	23474.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	221	37191	37191.0	14169.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	200	32239	32239.0	12362.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	151	29077	29066.0	6549.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	251	28623	28623.0	12996.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	150	28093	28093.0	14615.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	194	28045	28044.0	13559.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	122	26802	26802.0	9046.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	139	26029	26029.0	15056.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	207	26014	26014.0	11182.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	206	24178	24176.5	8288.5
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	173	24021	24019.0	10294.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	205	24659	23767.5	12535.5
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	201	22314	22314.0	12886.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	187	22080	22080.0	8603.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	441	21703	21703.0	13646.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	218	21605	21605.0	6759.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	229	20293	20293.0	11472.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	118	19514	19275.916666666664	10193.166666666668
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	141	19240	19240.0	10892.0
hsa-miR-216b-5p:MIMAT0004959:Homo:sapiens:miR-216b-5p	128	19152	19152.0	6334.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	128	18950	18950.0	7084.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	198	18660	18660.0	7831.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	114	18643	18643.0	7248.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	46	18582	18582.0	10886.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	147	18394	18394.0	9146.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	205	17829	17829.0	9092.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	144	17632	17571.5	9595.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	98	17136	17136.0	9230.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	150	16999	16994.5	7780.5
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	124	16964	16964.0	8710.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	118	16766	16755.0	4066.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	72	16334	16334.0	8208.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	160	16072	16072.0	8755.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	127	15605	15605.0	6587.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	159	15553	15551.0	8566.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	155	15187	15187.0	7141.0
