ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	216	208867	208846.5	15277.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	199	137161	137161.0	14148.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	134	131670	131670.0	10864.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	236	122863	122863.0	19707.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	172	118415	118415.0	11610.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	205	110009	110009.0	13402.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	147	107332	107332.0	12926.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	156	92037	92037.0	13982.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	197	60602	60602.0	11589.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	142	55141	55141.0	9013.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	177	54089	54089.0	12928.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	154	52402	52382.0	6670.5
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	111	49258	49258.0	6815.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	119	47967	47967.0	4391.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	119	46633	46633.0	4287.0
hsa-miR-532-3p:MIMAT0004780:Homo:sapiens:miR-532-3p	110	46631	46631.0	7884.0
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	130	44343	44329.0	6516.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	139	43651	43642.0	5437.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	138	43340	43338.0	4677.5
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	130	38915	38914.5	6159.5
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	110	38049	38049.0	6207.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	108	37809	37809.0	6191.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	101	33206	33179.0	5716.5
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	114	33137	33130.0	5224.5
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	109	32743	32743.0	3954.0
hsa-let-7a-3p:MIMAT0004481:Homo:sapiens:let-7a-3p	77	31655	31654.5	4278.5
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	124	30515	30515.0	6349.0
hsa-miR-574-3p:MIMAT0003239:Homo:sapiens:miR-574-3p	104	28608	28608.0	3735.0
hsa-miR-3529-3p:MIMAT0022741:Homo:sapiens:miR-3529-3p	88	28438	28438.0	3881.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	112	26307	26307.0	4122.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	111	25941	25941.0	4488.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	82	24389	24389.0	2995.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	121	23889	23889.0	4052.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	87	23739	23669.0	5193.5
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	95	23399	23399.0	5027.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	82	23352	23352.0	3930.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	94	23338	23338.0	3117.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	77	23265	23265.0	4933.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	105	23121	23121.0	4830.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	60	20525	20525.0	2606.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	101	20290	20290.0	4622.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	128	19830	19830.0	4066.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	85	19550	19550.0	4485.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	111	18907	18906.5	4131.5
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	77	18407	18407.0	3754.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	137	16053	16053.0	4382.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	84	16051	16051.0	4568.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	118	15929	15929.0	2957.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	94	15870	15870.0	3905.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	107	15746	15746.0	3289.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	76	15776	15676.5	3386.5
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	71	15552	15552.0	4369.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	64	15499	15499.0	2513.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	74	15326	15326.0	3749.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	68	15193	15193.0	2453.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	77	14991	14991.0	3373.0
