ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-376c-3p:MIMAT0000720:Homo:sapiens:miR-376c-3p	156	39407	39407.0	9722.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	177	37479	37186.5	11623.5
hsa-miR-380-3p:MIMAT0000735:Homo:sapiens:miR-380-3p	261	34095	34095.0	18811.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	259	33611	33611.0	16889.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	242	33373	33344.5	21406.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	212	32999	32999.0	16085.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	234	32673	32673.0	20453.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	315	30262	30262.0	13077.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	217	30065	30065.0	11282.0
hsa-miR-518f-5p:MIMAT0002841:Homo:sapiens:miR-518f-5p	306	31701	29913.166666666668	14869.666666666666
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	251	30275	29524.916666666664	12293.916666666668
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	317	29347	29347.0	11543.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	249	29325	29325.0	15442.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	314	29295	29295.0	13967.0
hsa-miR-454-3p:MIMAT0003885:Homo:sapiens:miR-454-3p	255	29133	29133.0	12055.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	199	29100	29100.0	8451.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	214	28620	28620.0	14725.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	304	28494	28494.0	10325.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	186	28410	28410.0	12705.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	256	28159	28159.0	11618.0
hsa-miR-22-5p:MIMAT0004495:Homo:sapiens:miR-22-5p	165	28045	28045.0	9038.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	155	27865	27865.0	8479.0
hsa-miR-154-3p:MIMAT0000453:Homo:sapiens:miR-154-3p	239	27415	27415.0	10292.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	273	27273	27267.5	12032.5
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	188	26623	26623.0	9785.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	151	26597	26597.0	9920.0
