ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	208	184422	184422.0	44152.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	248	152809	152127.33333333343	34164.83333333332
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	167	85947	85899.0	20379.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	170	73455	73455.0	26067.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	244	72058	72054.33333333333	22445.333333333332
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	170	71985	71629.5	23251.5
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	61	57813	56953.799999999996	15284.400000000001
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	148	50941	50941.0	14874.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	195	50392	50392.0	13793.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	134	44380	44380.0	17814.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	120	40755	40755.0	5888.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	113	39855	39855.0	9893.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	168	36489	36489.0	13517.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	195	36326	36326.0	15462.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	148	34534	34534.0	10336.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	146	30880	30868.5	12581.5
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	170	30196	30141.0	9675.5
