new.seqID	dG	dH	dS	Tm
BRCAT1-15;NA	998.9	Inf	Inf	NaN
HBA1-15;HBA1-15|4x|1x	998.3	Inf	Inf	NaN
HBA2-15;HBA2-15|1x|1.5x	1000	Inf	Inf	NaN
MIR-483-5P-hsa;hsa-miR-483-5p|1x|2x	998.2	Inf	Inf	NaN
MIR-483-5P;NA	998.2	Inf	Inf	NaN
PRCAT98-15;NA	998.4	Inf	Inf	NaN
MIR-684;NA	1.5	-7.9	-30.3	-12.5
MIR-765;NA	3	-7.5	-33.9	-51.6
MIR-698;NA	2.4	-8.4	-34.8	-31.9
MIR-576-5P;NA	1.9	-9.6	-37.1	-14.2
MIR-336;NA	1.8	-9.7	-37.1	-11.5
MIR-374B;hsa-miR-374b-5p|1x|1x	0.5	-11.7	-39.3	24.3
MIR-329;NA	1.7	-10.7	-40	-5.5
MIR-656;NA	1.5	-11.1	-40.6	0.1
HBB-15;HBB-15|1x|5x	0.4	-12.4	-41.3	27.3
MIR-574-5P;NA	0.1	-12.8	-41.6	34.6
CAT390-15;NA	2.2	-11	-42.6	-14.7
MIR-125A-5P;hsa-miR-125a-5p|1x|1x	0.4	-13	-43.2	27.7
MIR-875-3P-hsa;NA	-1.8	-15.6	-44.5	77.5
MIR-694;NA	0.2	-13.7	-44.8	32.5
MIR-569;NA	-1.5	-15.7	-45.8	69.8
MIR-335;hsa-miR-335-5p|3x|1x	0	-14.7	-47.4	37
MIR-467A-star;NA	2.2	-12.8	-48.4	-8.5
MIR-467B-star;NA	2.2	-12.8	-48.4	-8.5
PCA3-15;PCA3-15|1x|4x	1.1	-14.5	-50.3	15.1
LACAT6-15;NA	0.3	-15.3	-50.3	31
MIR-1-rno;NA	1.1	-14.8	-51.3	15.5
MIR-206;NA	1.1	-14.8	-51.3	15.5
MIR-202-5P;NA	1.4	-14.6	-51.6	9.9
BRCAT3-15;BRCAT3-15|1x|10x	-1.7	-18	-52.6	69.3
EBV-17-5P;NA	3.3	-13.3	-53.5	-24.7
LET-7B;hsa-let-7b-5p|1x|3x	1.4	-15.5	-54.5	11.3
PRCAT122-15;NA	0.2	-16.7	-54.5	33.3
MIR-620;NA	-0.5	-17.4	-54.5	46.2
MIR-365;hsa-miR-365a-3p|1x|5x	1	-16.1	-55.1	18.9
MIR-642;NA	0.5	-16.8	-55.8	28
MIR-483-3P-hsa;NA	1.5	-16.1	-56.7	10.6
MIR-483-3P;NA	1.5	-16.1	-56.7	10.6
MIR-100;hsa-miR-100-5p|1x|5x	0.5	-17.1	-56.7	28.2
EBV-12;NA	0.5	-17.2	-57.1	28.2
MIR-888;NA	-0.4	-18.1	-57.1	44
MIR-150;hsa-miR-150-5p|1x|3x	0.5	-17.4	-57.7	28.3
ACTB-15;ACTB-15|1x|1.5x	0.8	-17.2	-58	23.2
MIR-582-3P;NA	-0.7	-18.7	-58	49.1
MIR-429;NA	-2.9	-20.9	-58	87
KSHV-K12-11;NA	-0.1	-18.3	-58.7	38.7
MIR-586;NA	0	-18.5	-59.6	37
MIR-369-5P;hsa-miR-369-5p|1.5x|1x	-0.5	-19	-59.6	45.4
MIR-429-hsa;NA	-2.9	-21.4	-59.6	85.6
MIR-576-3P;hsa-miR-576-3p|1x|5x	-0.1	-18.7	-60	38.7
EBV-2-3P;NA	-1.5	-20.2	-60.3	61.9
MIR-197;hsa-miR-197-3p|5x|1x	1.9	-16.9	-60.6	5.7
MIR-720;NA	-2.1	-21.1	-61.3	71.3
MIR-196C;NA	0.3	-18.8	-61.6	32.1
PRCAT65-15;NA	0.2	-18.9	-61.6	33.8
MIR-211;NA	1.3	-18	-62.2	16.1
MIR-885-5P;hsa-miR-885-5p|1x|10x	1.3	-18.1	-62.6	16.2
MIR-463-star;NA	1	-18.4	-62.6	21
MIR-674-star;NA	0.7	-18.7	-62.6	25.8
MIR-595;NA	0.4	-19	-62.6	30.6
MIR-721;NA	0.9	-18.6	-62.9	22.7
EBV-9;NA	-2	-21.5	-62.9	68.8
MIR-664-3P;NA	1.7	-17.9	-63.2	10.1
MIR-466G;NA	0.5	-19.1	-63.2	29.1
HCMV-US33-3P;NA	-0.5	-20.1	-63.2	44.9
MIR-522;NA	0	-19.7	-63.5	37
MIR-211-hsa;hsa-miR-211-5p|1x|5x	1.3	-18.6	-64.2	16.7
DSCAM-AS1.1-45;NA	0.9	-19	-64.2	23
