ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	169	1452746	1452530.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	176	708593	708593.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	184	600342	600342.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	217	507111	507111.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	161	438829	438829.0	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	152	402386	402386.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	177	321972	321972.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	139	260616	260616.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	209	260078	259308.33333333337	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	306	246733	246732.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	142	221816	221816.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	233	218541	218433.5	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	208	218538	218193.66666666666	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	161	206015	206015.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	217	203239	203232.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	191	181478	181352.16666666666	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	130	170105	170105.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	156	156561	156561.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	161	141471	141471.0	0.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	124	128525	128525.0	0.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	196	120141	120141.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	129	111045	111045.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	134	105092	104908.5	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	107	103194	103193.5	0.0
