ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	243	186929	185571.53333333353	36723.53333333333
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	179	185519	185519.0	43718.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	176	143901	143830.5	25353.5
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	272	116028	116023.83333333333	28131.833333333332
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	189	88747	88747.0	29119.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	202	72781	72781.0	17187.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	154	71599	71266.0	23321.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	131	47141	47141.0	15796.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	161	44834	44834.0	15838.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	134	44384	44384.0	20173.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	47	44071	43560.35	13853.85
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	148	43413	43404.0	16402.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	137	43050	43050.0	12076.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	166	42784	42738.5	8709.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	101	42564	42564.0	12436.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	150	42547	42547.0	16695.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	112	37937	37937.0	5445.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	158	36720	36671.0	11253.5
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	132	36195	36195.0	12411.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	150	35304	35304.0	13946.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	156	31487	31487.0	11906.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	124	30741	30688.0	14577.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	134	28635	28635.0	8868.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	104	28596	28596.0	3193.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	94	26623	26623.0	7142.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	147	25744	25744.0	4559.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	131	24894	24894.0	8654.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	127	24616	24616.0	7771.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	94	23490	23490.0	5213.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	113	22676	22659.5	4040.1666666666665
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	129	22655	22655.0	6814.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	83	22501	22501.0	9401.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	122	22183	22183.0	10291.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	170	21992	21992.0	10636.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	148	21946	21944.5	6222.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	92	21825	21825.0	10076.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	135	20156	20156.0	8157.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	99	18950	18950.0	8088.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	101	18170	18170.0	9678.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	121	17278	17278.0	9134.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	114	17256	17256.0	4780.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	120	16559	16468.166666666664	9579.666666666666
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	132	16381	16381.0	8800.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	71	15532	15532.0	5051.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	115	15480	15480.0	5487.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	84	15265	15265.0	5248.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	104	15150	15150.0	7747.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	111	14971	14971.0	4979.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	90	14903	14903.0	5247.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	125	14567	14567.0	8371.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	89	14439	14436.5	3578.5
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	96	14217	14217.0	6706.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	101	14045	14045.0	6944.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	109	13922	13922.0	9236.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	90	13666	13666.0	5714.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	102	13473	13473.0	6605.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	93	13462	13462.0	6969.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	130	13376	13376.0	6297.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	84	13325	13325.0	6916.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	104	13179	13179.0	5761.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	89	13001	13001.0	2439.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	80	12608	12608.0	4770.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	93	12350	12350.0	6856.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	128	12300	12300.0	7285.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	79	11905	11869.5	4289.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	71	11731	11731.0	5281.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	78	11541	11541.0	5283.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	93	11313	11269.166666666666	7098.666666666667
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	112	11150	11150.0	4649.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	74	11016	11016.0	7306.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	92	10972	10972.0	5868.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	82	10942	10942.0	6135.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	93	10562	10562.0	5898.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	87	10460	10460.0	4520.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	79	10259	10259.0	6179.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	89	10073	10069.0	2981.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	106	9956	9956.0	4288.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	108	9912	9908.5	6644.5
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	47	9781	9753.800000000003	4823.049999999999
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	87	9554	9550.5	5453.5
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	87	9503	9503.0	6360.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	116	9542	9475.0	4860.0
