ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	159	202592	202592.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	141	172928	172928.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	231	163426	163426.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	234	125945	125942.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	197	110770	110770.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	137	110619	110619.0	0.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	195	109177	109177.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	223	66509	66509.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	199	61284	61284.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	39	55472	55472.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	182	53462	53462.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	124	53252	53217.5	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	365	45752	45752.0	0.0
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	77	43299	43299.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	135	37679	37679.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	86	36779	36779.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	124	35514	35514.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	134	31751	31751.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	67	31406	31406.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	112	29850	29850.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	63	29368	29368.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	102	28409	28409.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	157	28159	28159.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	159	26387	26387.0	0.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	133	24073	24073.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	96	22044	22030.5	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	154	21999	21999.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	163	21854	21854.0	0.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	105	21524	21524.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	230	21519	21519.0	0.0
hsa-miR-769-3p:MIMAT0003887:Homo:sapiens:miR-769-3p	105	21122	21122.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	89	20620	20620.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	112	17668	17655.5	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	126	16179	16179.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	83	15131	15131.0	0.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	115	15058	15058.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	107	15038	15026.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	103	14747	14747.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	92	14557	14554.5	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	89	14211	14197.5	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	100	13921	13921.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	82	13867	13832.5	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	75	13692	13692.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	69	13382	13382.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	61	13365	13365.0	0.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	82	13318	13315.5	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	171	12694	12691.0	0.0
hsa-miR-638:MIMAT0003308:Homo:sapiens:miR-638	177	12679	12679.0	0.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	106	12162	12162.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	72	12087	12087.0	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	92	11682	11647.5	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	49	11556	11556.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	95	11124	11124.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	93	11102	11102.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	113	10537	10537.0	0.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	121	10213	10213.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	78	9876	9876.0	0.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	84	9840	9840.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	79	9568	9568.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	79	9133	9133.0	0.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	91	8988	8988.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	147	8871	8871.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	81	8693	8693.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	79	8490	8478.0	0.0
hsa-miR-376c-5p:MIMAT0022861:Homo:sapiens:miR-376c-5p	16	16736	8371.5	0.0
