ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	158	222962	222962.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	273	197617	197617.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	324	175427	175427.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	450	174305	174296.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	57	165917	165917.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	335	154193	154193.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	284	154123	154023.5	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	203	148006	147803.5	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	201	147044	147044.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	260	143339	143338.5	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	284	142482	142482.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	420	142303	142303.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	221	124560	124560.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	105	121979	121979.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	228	119546	119546.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	228	109055	109055.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	190	108987	108987.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	265	107732	107732.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	264	105630	105427.5	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	643	100066	100065.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	263	99529	99529.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	53	93037	93037.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	173	92018	91921.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	367	86936	86924.5	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	275	86702	86702.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	349	84042	84042.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	272	83569	83569.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	134	81341	81341.0	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	146	78203	78199.5	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	176	76189	76189.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	142	75255	75255.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	285	74700	74392.5	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	167	70592	70592.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	210	68859	67293.5	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	148	66939	66939.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	172	65508	65508.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	137	65208	65208.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	226	62122	62122.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	142	60357	60073.58333333336	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	249	59956	59956.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	155	59214	59214.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	223	59196	59196.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	164	57872	57774.5	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	155	57557	57557.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	266	56395	56395.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	157	55634	55634.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	246	55361	55361.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	266	53864	53864.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	38	53300	53300.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	150	52575	52575.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	250	50872	50872.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	244	48226	48226.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	150	47898	47898.0	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	226	47681	47681.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	146	47294	47294.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	127	43908	43908.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	195	43794	43794.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	140	43001	43001.0	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	100	42762	42762.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	162	42718	42718.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	60	42646	42646.0	0.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	149	42397	42397.0	0.0
hsa-miR-569:MIMAT0003234:Homo:sapiens:miR-569	108	42255	42255.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	170	41524	41524.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	100	40974	40974.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	334	39084	39084.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	167	38747	38747.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	213	37327	37326.5	0.0
hsa-miR-586:MIMAT0003252:Homo:sapiens:miR-586	211	37231	37231.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	141	35676	35675.5	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	169	35640	35640.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	276	35246	35246.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	101	34430	34430.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	159	33420	33420.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	143	32360	32359.5	0.0
hsa-miR-541-5p:MIMAT0004919:Homo:sapiens:miR-541-5p	272	31956	31956.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	35	31742	31742.0	0.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	251	31624	31624.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	169	31279	31273.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	124	28211	28211.0	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	122	27334	27334.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	295	26503	26493.5	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	186	33324	26392.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	108	26163	26140.666666666668	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	171	25925	25925.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	128	24853	24823.5	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	155	24622	24622.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	109	24413	24413.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	114	24206	24206.0	0.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	122	23652	23652.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	100	23767	23609.5	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	92	23603	23603.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	177	23404	23403.0	0.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	150	22077	22077.0	0.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	65	21995	21995.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	176	21590	21590.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	194	21221	21221.0	0.0
hsa-miR-767-3p:MIMAT0003883:Homo:sapiens:miR-767-3p	110	20551	20551.0	0.0
hsa-miR-550a-3-5p:MIMAT0020925:Homo:sapiens:miR-550a-3-5p|hsa-miR-550a-5p:MIMAT0004800:Homo:sapiens:miR-550a-5p	76	21009	20497.333333333332	0.0
hsa-miR-635:MIMAT0003305:Homo:sapiens:miR-635	285	20356	20356.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	132	20091	20091.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	202	26394	19462.0	0.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	178	19372	19372.0	0.0
hsa-miR-650:MIMAT0003320:Homo:sapiens:miR-650	92	19323	19323.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	169	19312	19312.0	0.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	90	20269	19253.166666666664	0.0
hsa-miR-636:MIMAT0003306:Homo:sapiens:miR-636	169	19190	19190.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	140	19099	19099.0	0.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	80	18779	18779.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	170	18710	18648.5	0.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	134	18636	18636.0	0.0
hsa-miR-202-3p:MIMAT0002811:Homo:sapiens:miR-202-3p	71	18103	18103.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	103	17738	17738.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	141	17721	17721.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	113	17453	17453.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	219	16664	16664.0	0.0
hsa-miR-515-5p:MIMAT0002826:Homo:sapiens:miR-515-5p	94	16396	16396.0	0.0
hsa-miR-600:MIMAT0003268:Homo:sapiens:miR-600	252	16315	16315.0	0.0
